date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:04:09	7346/7346	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2005:04:08%20GMT	https://backend-codered.eccouncil.org/admin/login	/home/kat/Desktop/WebsiteClone/backend-codered.eccouncil.org/admin/login.html	(from )
22:04:10	24/24	---M--	200	added ('OK')	text/plain	etag:%226231ac85-18%22	https://backend-codered.eccouncil.org/robots.txt		(from )
22:04:11	115041/115041	---MCZ	200	added ('OK')	image/x-icon	etag:W/%226231ac85-1c161%22	https://backend-codered.eccouncil.org/admin/assets/images/favicon.ico	/home/kat/Desktop/WebsiteClone/backend-codered.eccouncil.org/admin/assets/images/favicon.ico	(from https://backend-codered.eccouncil.org/admin/login)
22:04:12	15180/15180	---MCZ	200	added ('OK')	text/css	etag:W/%226231ac85-3b4c%22	https://backend-codered.eccouncil.org/admin/assets/libs/select2/select2.min.css	/home/kat/Desktop/WebsiteClone/backend-codered.eccouncil.org/admin/assets/libs/select2/select2.min.css	(from https://backend-codered.eccouncil.org/admin/login)
22:04:13	202732/202732	---MCZ	200	added ('OK')	text/css	etag:W/%22638f414d-317ec%22	https://backend-codered.eccouncil.org/admin/assets/css/bootstrap.min.css	/home/kat/Desktop/WebsiteClone/backend-codered.eccouncil.org/admin/assets/css/bootstrap.min.css	(from https://backend-codered.eccouncil.org/admin/login)
22:04:14	338747/338747	---MCZ	200	added ('OK')	text/css	etag:W/%226231ac85-52b3b%22	https://backend-codered.eccouncil.org/admin/assets/css/icons.min.css	/home/kat/Desktop/WebsiteClone/backend-codered.eccouncil.org/admin/assets/css/icons.min.css	(from https://backend-codered.eccouncil.org/admin/login)
22:04:15	108197/108197	---MCZ	200	added ('OK')	text/css	etag:W/%226678d638-1a6a5%22	https://backend-codered.eccouncil.org/admin/assets/css/app.min.css?v=.01	/home/kat/Desktop/WebsiteClone/backend-codered.eccouncil.org/admin/assets/css/app.minb161.css	(from https://backend-codered.eccouncil.org/admin/login)
22:04:16	197417/197417	---MCZ	200	added ('OK')	application/javascript	etag:W/%226231ac85-30329%22	https://backend-codered.eccouncil.org/admin/assets/js/vendor.min.js	/home/kat/Desktop/WebsiteClone/backend-codered.eccouncil.org/admin/assets/js/vendor.min.js	(from https://backend-codered.eccouncil.org/admin/login)
22:04:17	67941/67941	---MCZ	200	added ('OK')	application/javascript	etag:W/%22627d1748-10965%22	https://backend-codered.eccouncil.org/admin/assets/libs/select2/select2.min.js	/home/kat/Desktop/WebsiteClone/backend-codered.eccouncil.org/admin/assets/libs/select2/select2.min.js	(from https://backend-codered.eccouncil.org/admin/login)
22:04:36	7640/7640	---MC-	522	error ('Unknown%20error')	text/html	date:Mon,%2016%20Sep%202024%2005:04:36%20GMT	https://backend-codered.eccouncil.org/admin/assets/js/app.min.js	/home/kat/Desktop/WebsiteClone/backend-codered.eccouncil.org/admin/assets/js/app.min.js	(from https://backend-codered.eccouncil.org/admin/login)
22:04:37	7598/7598	---MC-	522	error ('Unknown%20error')	text/html	date:Mon,%2016%20Sep%202024%2005:04:37%20GMT	https://backend-codered.eccouncil.org/admin/assets/js/intcore/settings.js	/home/kat/Desktop/WebsiteClone/backend-codered.eccouncil.org/admin/assets/js/intcore/settings.9.delayed	(from https://backend-codered.eccouncil.org/admin/login)
22:04:37	3531/3531	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266948959-dcb%22	https://backend-codered.eccouncil.org/admin/assets/js/intcore/helpers.js	/home/kat/Desktop/WebsiteClone/backend-codered.eccouncil.org/admin/assets/js/intcore/helpers.js	(from https://backend-codered.eccouncil.org/admin/login)
22:04:38	6572/6572	---MCZ	200	added ('OK')	application/javascript	etag:W/%226678d638-19ac%22	https://backend-codered.eccouncil.org/admin/assets/js/intcore/ajax.js	/home/kat/Desktop/WebsiteClone/backend-codered.eccouncil.org/admin/assets/js/intcore/ajax.js	(from https://backend-codered.eccouncil.org/admin/login)
22:04:40	3874/3874	---MCZ	200	added ('OK')	application/javascript	etag:W/%226231ac85-f22%22	https://backend-codered.eccouncil.org/admin/assets/js/intcore/prototype/string.js	/home/kat/Desktop/WebsiteClone/backend-codered.eccouncil.org/admin/assets/js/intcore/prototype/string.js	(from https://backend-codered.eccouncil.org/admin/login)
22:04:41	40522/40522	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226231ac85-9e4a%22	https://backend-codered.eccouncil.org/admin/fonts/dripicons-v2.eot?7e12564e72400735ae5b671780f6a9f7	/home/kat/Desktop/WebsiteClone/backend-codered.eccouncil.org/admin/fonts/dripicons-v20d42.eot	(from https://backend-codered.eccouncil.org/admin/assets/css/icons.min.css)
22:04:42	40522/40522	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226231ac85-9e4a%22	https://backend-codered.eccouncil.org/admin/fonts/dripicons-v2.eot?7e12564e72400735ae5b671780f6a9f7?	/home/kat/Desktop/WebsiteClone/backend-codered.eccouncil.org/admin/fonts/dripicons-v2263e.eot	(from https://backend-codered.eccouncil.org/admin/assets/css/icons.min.css)
22:04:43	26004/26004	---M--	200	added ('OK')	font/woff	etag:%226231ac85-6594%22	https://backend-codered.eccouncil.org/admin/fonts/dripicons-v2.woff?11fc83ae11617015f2fcde2065fb34d3	/home/kat/Desktop/WebsiteClone/backend-codered.eccouncil.org/admin/fonts/dripicons-v25c80.woff	(from https://backend-codered.eccouncil.org/admin/assets/css/icons.min.css)
